Entity,Code,Year,all years
Bennington,,2020,37271
Bennington,,2021,37312
Benson,,2020,5953
Benson,,2021,5809
Bent,,2020,5635
Bent,,2021,5759
Benton,,2020,286353
Benton,,2020,8712
Benton,,2020,25536
Benton,,2020,41338
Benton,,2020,7661
Benton,,2020,19409
Benton,,2020,95167
Benton,,2020,15812
Benton,,2020,207230
Benton,,2021,293692
Benton,,2021,8714
Benton,,2021,25691
Benton,,2021,41459
Benton,,2021,7646
Benton,,2021,19908
Benton,,2021,96017
Benton,,2021,15872
Benton,,2021,210025
Benzie,,2020,17974
Benzie,,2021,18223
Bergen,,2020,954774
Bergen,,2021,953819
Berkeley,,2020,231568
Berkeley,,2020,122654
Berkeley,,2021,236701
Berkeley,,2021,126069
Berks,,2020,428694
Berks,,2021,429342
Berkshire,,2020,128758
Berkshire,,2021,128657
Bernalillo,,2020,676581
Bernalillo,,2021,674393
Berrien,,2020,18159
Berrien,,2020,154095
Berrien,,2021,18147
Berrien,,2021,153101
Bertie,,2020,17851
Bertie,,2021,17505
Bethel,,2020,18648
Bethel,,2021,18557
Bexar,,2020,2014052
Bexar,,2021,2028236
Bibb,,2020,22223
Bibb,,2020,157104
Bibb,,2021,22477
Bibb,,2021,156762
Bienville,,2020,12899
Bienville,,2021,12776
Big Horn,,2020,13051
Big Horn,,2020,11467
Big Horn,,2021,12957
Big Horn,,2021,11632
Big Stone,,2020,5147
Big Stone,,2021,5145
Billings,,2020,931
Billings,,2021,955
Bingham,,2020,48068
Bingham,,2021,48876
Black Hawk,,2020,130980
Black Hawk,,2021,130368
Blackford,,2020,12098
Blackford,,2021,12091
Bladen,,2020,29599
Bladen,,2021,29525
Blaine,,2020,24327
Blaine,,2020,7002
Blaine,,2020,431
Blaine,,2020,8711
Blaine,,2021,24766
Blaine,,2021,6980
Blaine,,2021,461
Blaine,,2021,8562
Blair,,2020,122518
Blair,,2021,121767
Blanco,,2020,11454
Blanco,,2021,11886
Bland,,2020,6247
Bland,,2021,6173
Bleckley,,2020,12577
Bleckley,,2021,12607
Bledsoe,,2020,14930
Bledsoe,,2021,15234
Blount,,2020,59081
Blount,,2020,135566
Blount,,2021,59041
Blount,,2021,137605
Blue Earth,,2020,69173
Blue Earth,,2021,69280
Boise,,2020,7647
Boise,,2021,8094
Bolivar,,2020,30849
Bolivar,,2021,30308
Bollinger,,2020,10525
Bollinger,,2021,10556
Bon Homme,,2020,6979
Bon Homme,,2021,7014
Bond,,2020,16663
Bond,,2021,16596
Bonner,,2020,47390
Bonner,,2021,49491
Bonneville,,2020,124626
Bonneville,,2021,127930
Boone,,2020,37352
Boone,,2020,53326
Boone,,2020,71169
Boone,,2020,26691
Boone,,2020,136403
Boone,,2020,183894
Boone,,2020,5351
Boone,,2020,21714
Boone,,2021,37830
Boone,,2021,53159
Boone,,2021,73052
Boone,,2021,26723
Boone,,2021,137412
Boone,,2021,185840
Boone,,2021,5386
Boone,,2021,21312
Borden,,2020,641
Borden,,2021,617
Bosque,,2020,18239
Bosque,,2021,18503
Bossier,,2020,128615
Bossier,,2021,129144
Botetourt,,2020,33614
Botetourt,,2021,33866
Bottineau,,2020,6377
Bottineau,,2021,6390
Boulder,,2020,330811
Boulder,,2021,329543
Boundary,,2020,12113
Boundary,,2021,12561
Bourbon,,2020,14333
Bourbon,,2020,20285
Bourbon,,2021,14323
Bourbon,,2021,20229
Bowie,,2020,92792
Bowie,,2021,92581
Bowman,,2020,2981
Bowman,,2021,2903
Box Butte,,2020,10824
Box Butte,,2021,10604
Box Elder,,2020,57908
Box Elder,,2021,59688
Boyd,,2020,48175
Boyd,,2020,1806
Boyd,,2021,47899
Boyd,,2021,1789
Boyle,,2020,30701
Boyle,,2021,30747
Bracken,,2020,8390
Bracken,,2021,8439
Bradford,,2020,28364
Bradford,,2020,59858
Bradford,,2021,28540
Bradford,,2021,59892
Bradley,,2020,10498
Bradley,,2020,108741
Bradley,,2021,10408
Bradley,,2021,110162
Branch,,2020,44810
Branch,,2021,44985
Brantley,,2020,18040
Brantley,,2021,18101
Braxton,,2020,12386
Braxton,,2021,12247
Brazoria,,2020,373368
Brazoria,,2021,379689
Brazos,,2020,234480
Brazos,,2021,237032
Breathitt,,2020,13679
Breathitt,,2021,13553
Breckinridge,,2020,20432
Breckinridge,,2021,20651
Bremer,,2020,24974
Bremer,,2021,25081
Brevard,,2020,608007
Brevard,,2021,616628
Brewster,,2020,9566
Brewster,,2021,9450
Briscoe,,2020,1421
Briscoe,,2021,1403
Bristol,,2020,579172
Bristol,,2020,50750
Bristol,,2021,580164
Bristol,,2021,50818
Bristol Bay,,2020,831
Bristol Bay,,2021,838
Bristol city,,2020,17259
Bristol city,,2021,17054
Broadwater,,2020,6846
Broadwater,,2021,7288
Bronx,,2020,1466438
Bronx,,2021,1424948
Brooke,,2020,22469
Brooke,,2021,22140
Brookings,,2020,34339
Brookings,,2021,34639
Brooks,,2020,16232
Brooks,,2020,7030
Brooks,,2021,16270
Brooks,,2021,6994
Broome,,2020,198199
Broome,,2021,197240
Broomfield,,2020,74513
Broomfield,,2021,75325
Broward,,2020,1941516
Broward,,2021,1930983
Brown,,2020,6217
Brown,,2020,15470
Brown,,2020,9473
Brown,,2020,25885
Brown,,2020,2903
Brown,,2020,43629
Brown,,2020,38210
Brown,,2020,38002
Brown,,2020,268741
Brown,,2021,6421
Brown,,2021,15552
Brown,,2021,9455
Brown,,2021,25819
