Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2020;31.12.2021;31.12.2021;31.12.2022;31.12.2022;31.12.2023;31.12.2023;31.12.2024;31.12.2024
05966;Olpe, Landkreis;133362;e;133120;e;132519;e;132426;e;132346;e
05970;Siegen-Wittgenstein, Landkreis;275491;e;274342;e;274634;e;274379;e;274074;e
05974;Soest, Landkreis;301016;e;302298;e;299749;e;300347;e;300297;e
05978;Unna, Landkreis;393618;e;393063;e;395619;e;396283;e;393784;e
06411;Darmstadt, kreisfreie Stadt;159174;e;159631;e;162329;e;164832;e;167029;e
06412;Frankfurt am Main, kreisfreie Stadt;764104;e;759224;e;747389;e;749596;e;756021;e
06413;Offenbach am Main, kreisfreie Stadt;130892;e;131295;e;130542;e;131845;e;132746;e
06414;Wiesbaden, kreisfreie Stadt;278609;e;278950;e;284787;e;287241;e;288850;e
06431;Bergstraße, Landkreis;271015;e;271166;e;273288;e;274484;e;274169;e
06432;Darmstadt-Dieburg, Landkreis;297701;e;296900;e;300928;e;302263;e;302021;e
06433;Groß-Gerau, Landkreis;275807;e;276307;e;266326;e;267920;e;268310;e
06434;Hochtaunuskreis;237281;e;237041;e;238534;e;240622;e;241664;e
06435;Main-Kinzig-Kreis;421689;e;423465;e;415753;e;419055;e;420914;e
06436;Main-Taunus-Kreis;239264;e;239276;e;237671;e;238593;e;238775;e
06437;Odenwaldkreis;96754;e;96953;e;94619;e;94246;e;93846;e
06438;Offenbach, Landkreis;356542;e;357466;e;353948;e;356578;e;358022;e
06439;Rheingau-Taunus-Kreis;187433;e;187229;e;185684;e;186050;e;185651;e
06440;Wetteraukreis;310353;e;311661;e;309348;e;310705;e;311593;e
06531;Gießen, Landkreis;271667;e;272874;e;266314;e;268141;e;268418;e
06532;Lahn-Dill-Kreis;253373;e;253364;e;253208;e;254444;e;254074;e
06533;Limburg-Weilburg, Landkreis;172291;e;172759;e;173484;e;174281;e;173830;e
